id,sentence,sense_keys,glosses,target
d000.s001.t007,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a [TGT] document [TGT] outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","['document%1:10:00::', 'document%1:10:01::', 'document%1:06:00::', 'document%1:21:00::']","['writing that provides information (especially information of an official nature)', '(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters', ""anything serving as a representation of a person's thinking by means of symbolic marks"", 'a written account of ownership or obligation']",[0]
d000.s001.t008,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas [TGT] reductions [TGT] over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","['reduction%1:04:00::', 'reduction%1:04:02::', 'reduction%1:22:00::']","['the act of decreasing or reducing something', 'the act of reducing complexity', 'any process in which electrons are added to an atom or ion (as by removing oxygen or adding hydrogen); always occurs accompanied by oxidation of the reducing agent']",[0]
d000.s001.t009,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 [TGT] years [TGT] , with industrialized nations shouldering most of the burden in the near term .","['year%1:28:00::', 'year%1:28:02::', 'year%1:14:00::', 'year%1:28:01::']","['the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun', 'a period of time occupying a regular part of a calendar year that is used for some particular activity', 'a body of students who graduate together', 'a period of time containing 365 (or 366) days']",[3]
d000.s001.t010,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the [TGT] burden [TGT] in the near term .","['burden%1:09:00::', 'burden%1:06:01::', 'burden%1:09:01::', 'burden%1:10:00::']","['the central idea that is expanded in a document or discourse', 'weight to be borne or conveyed', 'an onerous or difficult concern', 'the central meaning or theme of a speech or literary work']",[2]
d000.s001.t011,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near [TGT] term [TGT] .","['term%1:10:02::', 'term%1:10:00::', 'term%1:06:00::', 'term%1:09:00::', 'term%1:28:01::', 'term%1:28:00::', 'term%1:10:01::']","['(usually plural) a statement of what is required as part of an agreement', 'a word or expression used for some particular thing', '(architecture) a statue or a human bust or an animal carved out of the top of a square pillar; originally used as a boundary marker in ancient Rome', 'any distinct quantity contained in a polynomial', 'the end of gestation or point at which birth is imminent', 'a limited period of time', 'one of the substantive phrases in a logical proposition']",[5]
d000.s002.t000,"The [TGT] text [TGT] , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .","['text%1:10:03::', 'text%1:10:00::', 'text%1:10:02::', 'text%1:10:01::']","['a passage from the Bible that is used as the subject of a sermon', 'the words of something written', 'a book prepared for use in schools or colleges', 'the main body of a written work (as distinct from illustrations or footnotes etc.)']","[1, 3]"
d000.s002.t001,"The text , which could provide the [TGT] basis [TGT] for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .","['basis%1:24:00::', 'basis%1:24:01::', 'basis%1:09:00::']","['a relation that provides the foundation for something', 'the most important or necessary part of something', 'the fundamental assumptions from which something is begun or developed or calculated or explained']",[2]
d000.s002.t002,"The text , which could provide the basis for a final political [TGT] deal [TGT] to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .","['deal%1:11:00::', 'deal%1:23:00::', 'deal%1:10:00::', 'deal%1:04:01::', 'deal%1:04:02::', 'deal%1:27:01::', 'deal%1:04:00::', 'deal%1:27:00::', 'deal%1:14:00::']","['the type of treatment received (especially as the result of an agreement)', ""(often followed by `of') a large number or amount or extent"", 'an agreement between parties (usually arrived at after discussion) fixing obligations of each', 'the act of apportioning or distributing something', 'a particular instance of buying or selling', 'wood that is easy to saw (from conifers such as pine or fir)', 'the act of distributing playing cards', 'a plank of softwood (fir or pine board)', 'the cards held in a card game by a given player at any given time']",[2]
d000.s002.t003,"The text , which could provide the basis for a final political deal to regulate [TGT] greenhouse gases [TGT] , highlighted the remaining obstacles as much as it illuminated a path forward .",['greenhouse_gas%1:27:00::'],['a gas that contributes to the greenhouse effect by absorbing infrared radiation'],[0]
d000.s002.t004,"The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining [TGT] obstacles [TGT] as much as it illuminated a path forward .","['obstacle%1:06:00::', 'obstacle%1:09:00::']","['an obstruction that stands in the way (and must be removed or surmounted or circumvented)', 'something immaterial that stands in the way and must be circumvented or surmounted']",[1]
d000.s002.t005,"The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a [TGT] path [TGT] forward .","['path%1:06:00::', 'path%1:17:00::', 'path%1:15:00::', 'path%1:04:00::']","['a way especially designed for a particular use', 'a line or route along which something travels or moves', 'an established line of travel or access', 'a course of conduct']",[3]
d000.s003.t000,"But it was seen as an important [TGT] advance [TGT] in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .","['advance%1:04:00::', 'advance%1:11:00::', 'advance%1:04:01::', 'advance%1:11:01::', 'advance%1:21:00::', 'advance%1:10:00::']","['the act of moving forward (as toward a goal)', 'a movement forward', 'increase in price or value', 'a change for the better; progress in development', 'an amount paid before it is earned', 'a tentative suggestion designed to elicit the reactions of others']",[3]
d000.s003.t001,"But it was seen as an important advance in a [TGT] negotiation [TGT] that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .","['negotiation%1:04:00::', 'negotiation%1:10:00::']","['the activity or business of negotiating an agreement; coming to terms', 'a discussion intended to produce an agreement']",[1]
d000.s003.t002,"But it was seen as an important advance in a negotiation that is running out of [TGT] time [TGT] , with more than 100 world leaders arriving in Copenhagen next week .","['time%1:28:05::', 'time%1:28:04::', 'time%1:28:03::', 'time%1:28:00::', 'time%1:11:00::', 'time%1:28:06::', 'time%1:07:01::', 'time%1:28:01::', 'time%1:03:00::', 'time%1:11:01::']","['a period of time considered as a resource under your control and sufficient to accomplish something', 'the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event', 'a reading of a point in time as given by a clock', 'an indefinite period (usually marked by specific attributes or activities)', 'an instance or single occasion for some event', 'a suitable moment', 'rhythm as given by division into parts of equal duration', 'the period of time a prisoner is imprisoned', 'the continuum of experience in which events pass from the future through the present to the past', ""a person's experience on a particular occasion""]",[0]
d000.s003.t003,"But it was seen as an important advance in a negotiation that is running out of time , with more than 100 [TGT] world [TGT] leaders arriving in Copenhagen next week .","['world%1:14:02::', 'world%1:17:02::', 'world%1:05:00::', 'world%1:09:00::', 'world%1:09:01::', 'world%1:17:00::', 'world%1:17:01::', 'world%1:14:01::']","['people in general considered as a whole', 'a part of the earth that can be considered separately', 'all of the living human inhabitants of the earth', 'all of your experiences that determine how things appear to you', 'the concerns of this life as distinguished from heaven and the afterlife', 'the 3rd planet from the sun; the planet we live on', 'everything that exists anywhere', 'people in general; especially a distinctive group of people with some shared interest']","[2, 5]"
d000.s003.t004,"But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world [TGT] leaders [TGT] arriving in Copenhagen next week .","['leader%1:06:00::', 'leader%1:18:00::']","['a featured article of merchandise sold at a loss in order to draw customers', 'a person who rules or guides or inspires others']",[1]
d000.s003.t005,"But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in [TGT] Copenhagen [TGT] next week .",['copenhagen%1:15:00::'],['the capital and largest city of Denmark; located on the island of Zealand'],[0]
d000.s003.t006,"But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next [TGT] week [TGT] .","['week%1:28:01::', 'week%1:28:02::', 'week%1:28:00::']","['hours or days of work in a calendar week', 'a period of seven consecutive days starting on Sunday', 'any period of seven consecutive days']",[1]
d000.s004.t000,"Forged by a U.N. ad-hoc [TGT] working group [TGT] , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .",['working_group%1:14:00::'],['a group of people working together temporarily until some goal is achieved'],[0]
d000.s004.t001,"Forged by a U.N. ad-hoc working group , the [TGT] text [TGT] is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .","['text%1:10:03::', 'text%1:10:00::', 'text%1:10:02::', 'text%1:10:01::']","['a passage from the Bible that is used as the subject of a sermon', 'the words of something written', 'a book prepared for use in schools or colleges', 'the main body of a written work (as distinct from illustrations or footnotes etc.)']","[1, 3]"
d000.s004.t002,"Forged by a U.N. ad-hoc working group , the text is silent on how much [TGT] money [TGT] rich countries would give poor ones to cope with global warming over the short and long term .","['money%1:21:02::', 'money%1:21:01::', 'money%1:21:00::']","['wealth reckoned in terms of money', 'the official currency issued by a government or national bank', 'the most common medium of exchange; functions as legal tender']",[2]
d000.s004.t003,"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich [TGT] countries [TGT] would give poor ones to cope with global warming over the short and long term .","['country%1:15:00::', 'country%1:15:01::', 'country%1:14:01::', 'country%1:15:02::', 'country%1:14:00::']","['the territory occupied by a nation', 'an area outside of cities and towns', 'the people who live in a nation or country', 'a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)', 'a politically organized body of people under a single government']",[4]
d000.s004.t004,"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor [TGT] ones [TGT] to cope with global warming over the short and long term .","['one%1:09:00::', 'one%1:23:00::']","['a single person or thing', 'the smallest whole number or a numeral representing this number']",[0]
d000.s004.t005,"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with [TGT] global warming [TGT] over the short and long term .",['global_warming%1:22:00::'],"[""an increase in the average temperature of the earth's atmosphere (especially a sustained increase that causes climatic changes)""]",[0]
d000.s004.t006,"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long [TGT] term [TGT] .","['term%1:10:02::', 'term%1:10:00::', 'term%1:06:00::', 'term%1:09:00::', 'term%1:28:01::', 'term%1:28:00::', 'term%1:10:01::']","['(usually plural) a statement of what is required as part of an agreement', 'a word or expression used for some particular thing', '(architecture) a statue or a human bust or an animal carved out of the top of a square pillar; originally used as a boundary marker in ancient Rome', 'any distinct quantity contained in a polynomial', 'the end of gestation or point at which birth is imminent', 'a limited period of time', 'one of the substantive phrases in a logical proposition']",[5]
d000.s005.t000,"And it provides a [TGT] range [TGT] of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .","['range%1:15:02::', 'range%1:07:00::', 'range%1:06:01::', 'range%1:06:00::', 'range%1:17:00::', 'range%1:14:00::', 'range%1:14:01::', 'range%1:09:00::', 'range%1:15:01::']","['a large tract of grassy open land on which livestock can graze', 'an area in which something acts or operates or has power or control:', 'a kitchen appliance used for cooking food', 'a place for shooting (firing or driving) projectiles of various kinds', 'a series of hills or mountains', 'a variety of different things or activities', '(mathematics) the set of values of the dependent variable for which a function is defined', 'the limit of capability', 'the limits within which something can be effective']",[1]
d000.s005.t001,"And it provides a range of [TGT] options [TGT] for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .","['option%1:04:00::', 'option%1:21:00::', 'option%1:09:00::']","['the act of choosing or selecting', 'the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited', 'one of a number of things from which only one can be chosen']",[2]
d000.s005.t002,"And it provides a range of options for the key [TGT] questions [TGT] , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .","['question%1:10:01::', 'question%1:10:02::', 'question%1:07:00::', 'question%1:10:03::', 'question%1:10:04::', 'question%1:10:00::']","['the subject matter at issue', 'a formal proposal for action made to a deliberative assembly for discussion and vote', 'uncertainty about the truth or factuality or existence of something', 'a sentence of inquiry that asks for a reply', 'an informal reference to a marriage proposal', 'an instance of questioning']",[0]
d000.s005.t003,"And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the [TGT] upper limit [TGT] of global temperature rise that policymakers would be willing to tolerate .","['upper_limit%1:23:00::', 'upper_limit%1:15:00::']","['the largest possible quantity', 'the limit on the upper (or northernmost) side of something']",[0]
d000.s005.t004,"And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global [TGT] temperature [TGT] rise that policymakers would be willing to tolerate .","['temperature%1:07:00::', 'temperature%1:09:00::']","['the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)', 'the somatic sensation of cold or heat']",[0]
d000.s005.t005,"And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature [TGT] rise [TGT] that policymakers would be willing to tolerate .","['rise%1:17:00::', 'rise%1:11:02::', 'rise%1:04:01::', 'rise%1:07:02::', 'rise%1:11:01::', 'rise%1:04:00::', 'rise%1:11:00::', 'rise%1:07:03::', 'rise%1:11:03::', 'rise%1:07:01::']","['an upward slope or grade (as in a road)', 'a movement upward', 'increase in price or value', 'the amount a salary is increased', 'a wave that lifts the surface of the water or ground', 'the act of changing location in an upward direction', 'a growth in strength or number or importance', 'an increase in cost', '(theology) the origination of the Holy Spirit at Pentecost', 'the property possessed by a slope or surface that rises']",[6]
d000.s006.t000,"It gives a [TGT] lot [TGT] of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .","['lot%1:18:00::', 'lot%1:26:00::', 'lot%1:23:00::', 'lot%1:15:00::', 'lot%1:06:00::', 'lot%1:14:01::', 'lot%1:14:00::']","['(Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction', 'your overall circumstances or condition in life (including everything that happens to you)', ""(often followed by `of') a large number or amount or extent"", 'a parcel of land having fixed boundaries', 'anything (straws or pebbles etc.) taken or chosen at random', 'any collection in its entirety', 'an unofficial association of people or groups']",[2]
d000.s006.t001,"It gives a lot of [TGT] flexibility [TGT] to the process , said John Coequyt , senior Washington representative for the Sierra Club .","['flexibility%1:07:03::', 'flexibility%1:07:01::', 'flexibility%1:07:02::']","['the trait of being easily persuaded', 'the quality of being adaptable or variable', 'the property of being flexible; easily bent or shaped']",[1]
d000.s006.t002,"It gives a lot of flexibility to the [TGT] process [TGT] , said John Coequyt , senior Washington representative for the Sierra Club .","['process%1:03:00::', 'process%1:09:01::', 'process%1:10:00::', 'process%1:08:00::', 'process%1:04:00::', 'process%1:09:00::']","['a sustained phenomenon or one marked by gradual changes through a series of states', 'a mental process that you are not directly aware of', ""a writ issued by authority of law; usually compels the defendant's attendance in a civil suit; failure to appear results in a default judgment against the defendant"", 'a natural prolongation or projection from a part of an organism either animal or plant', 'a particular course of action intended to achieve a result', '(psychology) the performance of some composite cognitive activity; an operation that affects mental contents']",[4]
d000.s006.t003,"It gives a lot of flexibility to the process , said John Coequyt , senior [TGT] Washington [TGT] representative for the Sierra Club .","['washington%1:14:00::', 'washington%1:18:01::', 'washington%1:18:00::', 'washington%1:15:01::', 'washington%1:15:00::']","['the federal government of the United States', 'United States educator who was born a slave but became educated and founded a college at Tuskegee in Alabama (1856-1915)', '1st President of the United States; commander-in-chief of the Continental Army during the American Revolution (1732-1799)', ""the capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'Enfant to lay out the city in 1791"", 'a state in northwestern United States on the Pacific']",[0]
d000.s006.t004,"It gives a lot of flexibility to the process , said John Coequyt , senior Washington [TGT] representative [TGT] for the Sierra Club .","['representative%1:18:01::', 'representative%1:18:02::', 'representative%1:18:00::', 'representative%1:09:00::']","['a member of the United States House of Representatives', ""an advocate who represents someone else's policy or purpose"", 'a person who represents others', 'an item of information that is typical of a class or group']",[1]
d000.s007.t000,"Michael Zammit Cutajar , who drafted the six-page [TGT] document [TGT] , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''","['document%1:10:00::', 'document%1:10:01::', 'document%1:06:00::', 'document%1:21:00::']","['writing that provides information (especially information of an official nature)', '(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters', ""anything serving as a representation of a person's thinking by means of symbolic marks"", 'a written account of ownership or obligation']",[0]
d000.s007.t001,"Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page [TGT] negotiation [TGT] text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''","['negotiation%1:04:00::', 'negotiation%1:10:00::']","['the activity or business of negotiating an agreement; coming to terms', 'a discussion intended to produce an agreement']",[1]
d000.s007.t002,"Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation [TGT] text [TGT] to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''","['text%1:10:03::', 'text%1:10:00::', 'text%1:10:02::', 'text%1:10:01::']","['a passage from the Bible that is used as the subject of a sermon', 'the words of something written', 'a book prepared for use in schools or colleges', 'the main body of a written work (as distinct from illustrations or footnotes etc.)']","[1, 3]"
d000.s007.t003,"Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top [TGT] climate [TGT] official , Yvo de Boer , described as `` the big picture . ''","['climate%1:26:00::', 'climate%1:26:01::']","['the weather in some location averaged over some long period of time', 'the prevailing psychological state']",[0]
d000.s007.t004,"Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate [TGT] official [TGT] , Yvo de Boer , described as `` the big picture . ''","['official%1:18:00::', 'official%1:18:01::']","['someone who administers the rules of a game or sport', 'a worker who holds or is invested with an office']",[1]
d000.s007.t005,"Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big [TGT] picture [TGT] . ''","['picture%1:09:01::', 'picture%1:10:02::', 'picture%1:09:00::', 'picture%1:10:00::', 'picture%1:10:01::', 'picture%1:26:00::', 'picture%1:06:00::', 'picture%1:10:03::', 'picture%1:06:01::', 'picture%1:06:02::']","['a typical example of some state or quality', 'a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement', 'a clear and telling mental image', 'illustrations used to decorate or explain a text', 'the visible part of a television transmission', 'a situation treated as an observable object', 'a visual representation (of an object or scene or person or abstraction) produced on a surface', 'a graphic or vivid verbal description', 'graphic art consisting of an artistic composition made by applying paints to a surface', 'a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material']",[5]
d000.s008.t000,"It shows the [TGT] outlines [TGT] for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .","['outline%1:15:00::', 'outline%1:10:00::', 'outline%1:09:00::']","['the line that appears to bound an object', 'a sketchy summary of the main points of an argument or theory', 'a schematic or preliminary plan']",[2]
d000.s008.t001,"It shows the outlines for a possible [TGT] deal [TGT] , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .","['deal%1:11:00::', 'deal%1:23:00::', 'deal%1:10:00::', 'deal%1:04:01::', 'deal%1:04:02::', 'deal%1:27:01::', 'deal%1:04:00::', 'deal%1:27:00::', 'deal%1:14:00::']","['the type of treatment received (especially as the result of an agreement)', ""(often followed by `of') a large number or amount or extent"", 'an agreement between parties (usually arrived at after discussion) fixing obligations of each', 'the act of apportioning or distributing something', 'a particular instance of buying or selling', 'wood that is easy to saw (from conifers such as pine or fir)', 'the act of distributing playing cards', 'a plank of softwood (fir or pine board)', 'the cards held in a card game by a given player at any given time']",[2]
d000.s008.t002,"It shows the outlines for a possible deal , in which industrial nations would collectively cut their [TGT] emissions [TGT] by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .","['emission%1:22:00::', 'emission%1:11:00::', 'emission%1:27:00::', 'emission%1:04:00::', 'emission%1:22:01::']","['the release of electrons from parent atoms', 'the occurrence of a flow of water (as from a pipe)', 'a substance that is emitted or released', 'the act of emitting; causing to flow forth', 'any of several bodily processes by which substances go out of the body']",[2]
d000.s008.t003,"It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 [TGT] percent [TGT] compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .",['percent%1:24:00::'],['a proportion in relation to a whole (which is usually the amount per hundred)'],[0]
d000.s008.t004,"It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 [TGT] levels [TGT] , while major developing countries would reduce theirs during the same period by 15 to 30 percent .","['level%1:07:00::', 'level%1:07:01::', 'level%1:26:01::', 'level%1:06:00::', 'level%1:09:00::', 'level%1:06:01::', 'level%1:26:00::', 'level%1:06:03::']","['a position on a scale of intensity or amount or quality', 'height above ground', 'a relative position or degree of value in a graded group', 'indicator that establishes the horizontal when a bubble is centered in a tube of liquid', 'an abstract place usually conceived as having depth', 'a structure consisting of a room or set of rooms at a single position along a vertical scale', 'a specific identifiable position in a continuum or series or especially in a process', 'a flat surface at right angles to a plumb line']",[6]
d000.s008.t005,"It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major [TGT] developing countries [TGT] would reduce theirs during the same period by 15 to 30 percent .",['developing_country%1:14:00::'],['a country that is poor and whose citizens are mostly agricultural workers but that wants to become more advanced socially and economically'],[0]
d000.s008.t006,"It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same [TGT] period [TGT] by 15 to 30 percent .","['period%1:28:07::', 'period%1:28:04::', 'period%1:10:00::', 'period%1:28:00::', 'period%1:28:03::', 'period%1:28:02::', 'period%1:22:00::']","['(ice hockey) one of three divisions into which play is divided in hockey games', 'the end or completion of something', 'a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations', 'an amount of time', 'a unit of geological time during which a system of rocks formed', 'the interval taken to complete one cycle of a regularly repeating phenomenon', 'the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause; ; --Hippocrates; --Aristotle']",[3]
d000.s008.t007,"It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 [TGT] percent [TGT] .",['percent%1:24:00::'],['a proportion in relation to a whole (which is usually the amount per hundred)'],[0]
d000.s009.t000,"Together , the [TGT] countries [TGT] would cut emissions between 50 and 95 percent by 2050 .","['country%1:15:00::', 'country%1:15:01::', 'country%1:14:01::', 'country%1:15:02::', 'country%1:14:00::']","['the territory occupied by a nation', 'an area outside of cities and towns', 'the people who live in a nation or country', 'a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)', 'a politically organized body of people under a single government']",[4]
