uid,sentence,sense_keys,glosses,target
d000.s001.t005,"Have you permitted it to become a giveaway program rather than one that [TGT] has [TGT] the goal of improved employee morale and , consequently , increased productivity ?","['have%2:42:12::', 'have%2:40:00::', 'have%2:41:00::', 'have%2:42:00::']","['be confronted with', 'have or possess, either in a concrete or an abstract sense', 'have a personal or business relationship with someone', 'have as a feature']",[3]
d000.s001.t006,"Have you permitted it to become a giveaway program rather than one that has the [TGT] goal [TGT] of improved employee morale and , consequently , increased productivity ?","['goal%1:15:00::', 'goal%1:09:00::', 'goal%1:06:00::', 'goal%1:04:00::']","['the place designated as the end (as of a race or journey)', 'the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it', 'game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points', 'a successful attempt at scoring']",[1]
d000.s001.t007,"Have you permitted it to become a giveaway program rather than one that has the goal of [TGT] improved [TGT] employee morale and , consequently , increased productivity ?","['improved%5:00:00:cleared:00', 'improved%5:00:00:better:00', 'improved%3:00:00::']","['(of land) made ready for development or agriculture by clearing of trees and brush', 'become or made better in quality', 'made more desirable or valuable or profitable; especially made ready for use or marketing']",[2]
d000.s001.t008,"Have you permitted it to become a giveaway program rather than one that has the goal of improved [TGT] employee [TGT] morale and , consequently , increased productivity ?",['employee%1:18:00::'],['a worker who is hired to perform a job'],[0]
d000.s001.t009,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee [TGT] morale [TGT] and , consequently , increased productivity ?","['morale%1:26:00::', 'morale%1:07:00::']","['a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose', 'the spirit of a group that makes the members want the group to succeed']",[0]
d000.s001.t010,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , [TGT] consequently [TGT] , increased productivity ?","['consequently%4:02:00::', 'consequently%4:02:01::']","['(sentence connectors) because of the reason given', 'as a consequence']",[0]
d000.s001.t011,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , [TGT] increased [TGT] productivity ?",['increased%3:00:00::'],['made greater in size or amount or degree'],[0]
d000.s001.t012,"Have you permitted it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased [TGT] productivity [TGT] ?","['productivity%1:24:00::', 'productivity%1:07:00::']","['(economics) the ratio of the quantity and quality of units produced to the labor per unit of time', 'the quality of being productive or having the power to produce']",[1]
d000.s002.t000,What [TGT] effort [TGT] do you make to assess results of your program ?,"['effort%1:04:01::', 'effort%1:04:03::', 'effort%1:04:02::', 'effort%1:04:00::']","['use of physical or mental energy; hard work', 'a series of actions advancing a principle or tending toward a particular end', 'a notable achievement', 'earnest and conscientious activity intended to do or accomplish something']",[3]
d000.s002.t001,What effort do you [TGT] make [TGT] to assess results of your program ?,"['make%2:38:00::', 'make%2:31:10::', 'make%2:41:13::', 'make%2:41:00::']","['reach a destination, either real or abstract', 'consider as being', 'carry out or commit', 'engage in']",[3]
d000.s002.t002,What effort do you make to [TGT] assess [TGT] results of your program ?,"['assess%2:31:00::', 'assess%2:40:01::', 'assess%2:31:01::', 'assess%2:40:00::']","['evaluate or estimate the nature, quality, ability, extent, or significance of', 'charge (a person or a property) with a payment, such as a tax or a fine', 'estimate the value of (property) for taxation', 'set or determine the amount of (a payment such as a fine)']",[0]
d000.s002.t003,What effort do you make to assess [TGT] results [TGT] of your program ?,"['result%1:10:01::', 'result%1:19:00::', 'result%1:10:00::', 'result%1:11:00::']","['the semantic role of the noun phrase whose referent exists only by virtue of the activity denoted by the verb in the clause', 'a phenomenon that follows and is caused by some previous phenomenon', 'a statement that solves a problem or explains how to solve the problem', 'something that results']",[3]
d000.s002.t004,What effort do you make to assess results of your [TGT] program [TGT] ?,"['program%1:10:05::', 'program%1:10:04::', 'program%1:09:01::', 'program%1:10:01::']","['an integrated course of academic studies', 'a document stating the aims and principles of a political party', 'a system of projects or services intended to meet a public need', 'a radio or television show']",[2]
d000.s003.t000,"Do you [TGT] measure [TGT] its relation to reduced absenteeism , turnover , accidents , and grievances , and to improved quality and output ?","['measure%2:42:00::', 'measure%2:31:00::', 'measure%2:31:01::', 'measure%2:30:00::']","['have certain dimensions', 'determine the measurements of something or somebody, take measurements of', 'evaluate or estimate the nature, quality, ability, extent, or significance of', 'express as a number or measure or quantity']",[2]
d000.s003.t001,"Do you measure its relation to [TGT] reduced [TGT] absenteeism , turnover , accidents , and grievances , and to improved quality and output ?","['reduced%5:00:00:low:02', 'reduced%3:00:04::']","['well below normal (especially in price)', 'made less in size or amount or degree']",[1]
d000.s003.t002,"Do you measure its relation to reduced [TGT] absenteeism [TGT] , turnover , accidents , and grievances , and to improved quality and output ?",['absenteeism%1:04:00::'],['habitual absence from work'],[0]
d000.s003.t003,"Do you measure its relation to reduced absenteeism , [TGT] turnover [TGT] , accidents , and grievances , and to improved quality and output ?","['turnover%1:04:00::', 'turnover%1:07:00::', 'turnover%1:13:00::', 'turnover%1:24:00::']","['the act of upsetting something', 'the volume measured in dollars', 'a dish made by folding a piece of pastry over a filling', 'the ratio of the number of workers that had to be replaced in a given time period to the average number of workers']",[3]
d000.s003.t004,"Do you measure its relation to reduced absenteeism , turnover , [TGT] accidents [TGT] , and grievances , and to improved quality and output ?","['accident%1:11:01::', 'accident%1:11:00::']","['an unfortunate mishap; especially one causing damage or injury', 'anything that happens suddenly or by chance without an apparent cause']",[0]
d000.s003.t005,"Do you measure its relation to reduced absenteeism , turnover , accidents , and [TGT] grievances [TGT] , and to improved quality and output ?","['grievance%1:10:00::', 'grievance%1:12:00::', 'grievance%1:10:01::']","['a complaint about a (real or imaginary) wrong that causes resentment and is grounds for action', 'a resentment strong enough to justify retaliation', 'an allegation that something imposes an illegal obligation or denies some legal right or causes injustice']",[2]
d000.s003.t006,"Do you measure its relation to reduced absenteeism , turnover , accidents , and grievances , and to [TGT] improved [TGT] quality and output ?","['improved%3:00:00::', 'improved%5:00:00:cleared:00', 'improved%5:00:00:better:00']","['made more desirable or valuable or profitable; especially made ready for use or marketing', '(of land) made ready for development or agriculture by clearing of trees and brush', 'become or made better in quality']",[2]
d000.s003.t007,"Do you measure its relation to reduced absenteeism , turnover , accidents , and grievances , and to improved [TGT] quality [TGT] and output ?","['quality%1:07:01::', 'quality%1:07:00::', 'quality%1:26:00::', 'quality%1:09:00::']","['(music) the distinctive property of a complex sound (a voice or noise or musical sound)', 'an essential and distinguishing attribute of something or someone; --Shakespeare', 'high social status', 'a characteristic property that defines the apparent individual nature of something']",[1]
d000.s003.t008,"Do you measure its relation to reduced absenteeism , turnover , accidents , and grievances , and to improved quality and [TGT] output [TGT] ?","['output%1:04:00::', 'output%1:10:02::', 'output%1:23:00::', 'output%1:06:00::']","['production of a certain amount', 'signal that comes out of an electronic system', 'the quantity of something (as a commodity) that is created (usually within a given period of time)', 'final product; the things produced']",[0]
d000.s004.t000,Have you [TGT] set [TGT] specific objectives for your employee publication ?,"['set%2:36:12::', 'set%2:30:01::', 'set%2:29:05::', 'set%2:32:00::']","['apply or start', 'put into a certain state; cause to be in a certain state', 'arrange attractively', 'decide upon or fix definitely']",[3]
d000.s004.t001,Have you set [TGT] specific [TGT] objectives for your employee publication ?,"['specific%3:01:00::', 'specific%3:00:00::', 'specific%3:00:02::', 'specific%5:00:00:specified:00']","['relating to or distinguishing or constituting a taxonomic species', ""(sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique"", 'being or affecting a disease produced by a particular microorganism or condition; used also of stains or dyes used in making microscope slides', 'stated explicitly or in detail']",[1]
d000.s004.t002,Have you set specific [TGT] objectives [TGT] for your employee publication ?,"['objective%1:06:00::', 'objective%1:09:00::']","['the lens or system of lenses in a telescope or microscope that is nearest the object being viewed', 'the goal intended to be attained (and which is believed to be attainable)']",[1]
d000.s004.t003,Have you set specific objectives for your [TGT] employee [TGT] publication ?,['employee%1:18:00::'],['a worker who is hired to perform a job'],[0]
d000.s004.t004,Have you set specific objectives for your employee [TGT] publication [TGT] ?,"['publication%1:04:02::', 'publication%1:04:00::', 'publication%1:04:01::', 'publication%1:10:00::']","['the communication of something to the public; making information generally known', 'the business of issuing printed matter for sale or distribution', 'the act of issuing printed materials', 'a copy of a printed work offered for distribution']",[3]
d000.s005.t000,Is it [TGT] reaching [TGT] these goals ?,"['reach%2:41:00::', 'reach%2:33:00::', 'reach%2:40:00::', 'reach%2:38:06::']","['to gain with effort', 'to exert much effort or energy', 'place into the hands or custody of', 'reach a goal, e.g.,']",[3]
d000.s005.t001,Is it reaching these [TGT] goals [TGT] ?,"['goal%1:09:00::', 'goal%1:04:00::', 'goal%1:15:00::', 'goal%1:06:00::']","['the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it', 'a successful attempt at scoring', 'the place designated as the end (as of a race or journey)', 'game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points']",[0]
d000.s006.t000,[TGT] Is [TGT] it larger or fancier than you really need ?,"['be%2:41:00::', 'be%2:42:03::', 'be%2:42:00::', 'be%2:42:08::']","['work in a specific place, with a specific subject, or in a specific function', 'have the quality of being; (copula, used with an adjective or a predicate noun)', 'have an existence, be extant', 'represent, as of a character on stage']",[1]
d000.s006.t001,Is it [TGT] larger [TGT] or fancier than you really need ?,"['large%3:00:00::', 'large%5:00:00:conspicuous:00', 'large%5:00:00:pregnant:00', 'larger%5:00:00:large:00']","['above average in size or number or quantity or magnitude or extent', 'conspicuous in position or importance', 'in an advanced stage of pregnancy', 'large or big relative to something else']",[3]
d000.s006.t002,Is it larger or [TGT] fancier [TGT] than you really need ?,['fancy%3:00:00::'],['not plain; decorative or ornamented'],[0]
d000.s006.t003,Is it larger or fancier than you [TGT] really [TGT] need ?,"['really%4:02:04::', 'really%4:02:02::', 'really%4:02:03::', 'really%4:02:00::']","['in actual fact', 'in fact (used as intensifiers or sentence modifiers)', 'in accordance with truth or fact or reality', ""used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal""]",[2]
d000.s006.t004,Is it larger or fancier than you really [TGT] need [TGT] ?,"['need%2:34:01::', 'need%2:34:00::', 'need%2:42:00::']","['have or feel a need for', 'have need of', 'require as useful, just, or proper']",[1]
d000.s007.t000,"Are you [TGT] using [TGT] the most economical printing methods , paper , etc. .","['use%2:34:02::', 'use%2:34:01::', 'use%2:41:04::', 'use%2:41:03::']","['take or consume (regularly or habitually)', 'put into service; make work or employ for a particular purpose or for its inherent or natural purpose', 'avail oneself to', 'habitually do something (use only in the past tense)']",[1]
d000.s007.t001,"Are you using the [TGT] most [TGT] economical printing methods , paper , etc. .","['most%4:02:02::', 'most%4:02:01::', 'most%4:02:00::']","['(of actions or states) slightly short of or not quite accomplished; all but', 'very', 'used to form the superlative']",[2]
d000.s007.t002,"Are you using the most [TGT] economical [TGT] printing methods , paper , etc. .","['economical%3:01:00::', 'economical%5:00:00:efficient:00', 'economical%5:00:00:thrifty:00']","['of or relating to an economy, the system of production and management of material wealth', 'using the minimum of time or resources necessary for effectiveness', 'avoiding waste']",[1]
d000.s007.t003,"Are you using the most economical [TGT] printing [TGT] methods , paper , etc. .","['printing%1:04:00::', 'printing%1:10:00::', 'printing%1:10:01::', 'printing%1:10:02::']","['the business of producing printed material for sale or distribution', 'reproduction by applying ink to paper as for publication', 'text handwritten in the style of printed matter', 'all the copies of a work printed at one time']",[0]
d000.s007.t004,"Are you using the most economical printing [TGT] methods [TGT] , paper , etc. .","['method%1:09:00::', 'method%1:04:00::']","['a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)', 'an acting technique introduced by Stanislavsky in which the actor recalls emotions or reactions from his or her own life and uses them to identify with the character being portrayed']",[0]
d000.s007.t005,"Are you using the most economical printing methods , [TGT] paper [TGT] , etc. .","['paper%1:27:00::', 'paper%1:10:02::', 'paper%1:14:00::', 'paper%1:10:01::']","['a material made of cellulose pulp derived mainly from wood or rags or certain grasses', 'a scholarly article describing the results of observations or stating hypotheses', 'a business firm that publishes newspapers', 'an essay (especially one written as an assignment)']",[0]
d000.s008.t000,"[TGT] Are [TGT] there other , cheaper communications techniques that could be substituted ?","['be%2:42:13::', 'be%2:42:00::', 'be%2:42:01::', 'be%2:42:04::']","['to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'have an existence, be extant', 'have life, be alive', 'happen, occur, take place']",[1]
d000.s008.t001,"Are there [TGT] other [TGT] , cheaper communications techniques that could be substituted ?","['other%5:00:00:past:00', 'other%3:00:00::', 'other%5:00:00:strange:00', 'other%5:00:02:past:00']","['recently past', 'not the same one or ones already mentioned or implied; - the White Queen', 'very unusual; different in character or quality from the normal or expected; - Lance Morrow', 'belonging to the distant past']",[1]
d000.s008.t002,"Are there other , [TGT] cheaper [TGT] communications techniques that could be substituted ?","['cheap%3:00:00::', 'cheap%5:00:00:inferior:02', 'cheap%5:00:00:stingy:00', 'cheap%5:00:00:tasteless:02']","['relatively low in price or charging low prices', 'of very poor quality; flimsy', 'embarrassingly stingy', 'tastelessly showy']",[0]
d000.s008.t003,"Are there other , cheaper [TGT] communications [TGT] techniques that could be substituted ?","['communication%1:03:00::', 'communication%1:24:00::', 'communication%1:10:01::']","['something that is communicated by or to or between people or groups', 'a connection allowing access between persons or places', 'the activity of communicating; the activity of conveying information']",[2]
d000.s008.t004,"Are there other , cheaper communications [TGT] techniques [TGT] that could be substituted ?","['technique%1:09:01::', 'technique%1:09:00::']","['skillfulness in the command of fundamentals deriving from practice and familiarity', 'a practical method or art applied to some particular task']",[1]
d000.s008.t005,"Are there other , cheaper communications techniques that could be [TGT] substituted [TGT] ?","['substitute%2:40:01::', 'substitute%2:40:00::', 'substitute%2:41:09::']","['be a substitute', 'put in the place of another; switch seemingly equivalent items', 'act as a substitute']",[1]
d000.s009.t000,Has your [TGT] attitude [TGT] toward employee benefits encouraged an excess of free `` government '' work in your plant ?,"['attitude%1:04:00::', 'attitude%1:07:01::', 'attitude%1:09:00::', 'attitude%1:24:00::']","['a theatrical pose created for effect', 'the arrangement of the body and its limbs', 'a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways', 'position of aircraft or spacecraft relative to a frame of reference (the horizon or direction of motion)']",[2]
d000.s009.t001,Has your attitude toward [TGT] employee [TGT] benefits encouraged an excess of free `` government '' work in your plant ?,['employee%1:18:00::'],['a worker who is hired to perform a job'],[0]
d000.s009.t002,Has your attitude toward employee [TGT] benefits [TGT] encouraged an excess of free `` government '' work in your plant ?,"['benefit%1:21:00::', 'benefit%1:10:00::', 'benefit%1:07:00::']","['financial assistance in time of need', 'a performance to raise money for a charitable cause', 'something that aids or promotes well-being']",[0]
d000.s009.t003,Has your attitude toward employee benefits [TGT] encouraged [TGT] an excess of free `` government '' work in your plant ?,"['encourage%2:37:00::', 'encourage%2:32:00::', 'encourage%2:41:00::']","['inspire with confidence; give hope or courage to', 'spur on', 'contribute to the progress or growth of']",[2]
d000.s009.t004,Has your attitude toward employee benefits encouraged an [TGT] excess [TGT] of free `` government '' work in your plant ?,"['excess%1:04:00::', 'excess%1:26:00::', 'excess%1:07:00::', 'excess%1:07:02::']","['excessive indulgence', 'the state of being more than full', 'immoderation as a consequence of going beyond sufficient or permitted limits', 'a quantity much larger than is needed']",[3]
d000.s009.t005,Has your attitude toward employee benefits encouraged an excess of [TGT] free [TGT] `` government '' work in your plant ?,"['free%5:00:00:unpaid:00', 'free%3:00:01::', 'free%3:00:02::', 'free%3:00:00::']","['costing nothing', 'not held in servitude', 'unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion', 'able to act at will; not hampered; not under compulsion or restraint']",[0]
d000.s009.t006,Has your attitude toward employee benefits encouraged an excess of free `` [TGT] government [TGT] '' work in your plant ?,"['government%1:09:01::', 'government%1:04:00::', 'government%1:14:00::', 'government%1:09:00::']","['the study of government of states and other political units', 'the act of governing; exercising authority', 'the organization that is the governing authority of a political unit', '(government) the system or form by which a community or other political unit is governed']",[2]
d000.s009.t007,Has your attitude toward employee benefits encouraged an excess of free `` government '' [TGT] work [TGT] in your plant ?,"['work%1:06:02::', 'work%1:06:00::', 'work%1:04:00::', 'work%1:19:00::']","['the total output of a writer or artist (or a substantial part of it)', 'a product produced or accomplished through the effort or activity or agency of a person or thing', 'activity directed toward making or doing something', '(physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force']",[2]
d000.s009.t008,Has your attitude toward employee benefits encouraged an excess of free `` government '' work in your [TGT] plant [TGT] ?,"['plant%1:06:01::', 'plant%1:09:00::', 'plant%1:03:00::', 'plant%1:18:00::']","['buildings for carrying on industrial labor', 'something planted secretly for discovery by another', '(botany) a living organism lacking the power of locomotion', 'an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience']",[0]
d000.s010.t000,Is your [TGT] purchasing agent [TGT] offering too much free buying service for employees ?,['purchasing_agent%1:18:00::'],['an agent who purchases goods or services for another'],[0]
d000.s010.t001,Is your purchasing agent [TGT] offering [TGT] too much free buying service for employees ?,"['offer%2:40:09::', 'offer%2:40:03::', 'offer%2:39:06::', 'offer%2:40:02::']","['offer verbally', 'make available for sale', 'produce or introduce on the stage', 'make available or accessible, provide or furnish']",[3]
d000.s010.t002,Is your purchasing agent offering [TGT] too much [TGT] free buying service for employees ?,['too_much%4:02:00::'],['more than necessary'],[0]
d000.s010.t003,Is your purchasing agent offering too much [TGT] free [TGT] buying service for employees ?,"['free%5:00:00:inexact:00', 'free%5:00:02:unoccupied:00', 'free%5:00:00:nonexistent:00', 'free%3:00:00::']","['not literal', 'not occupied or in use', 'completely wanting or lacking', 'able to act at will; not hampered; not under compulsion or restraint']",[3]
d000.s010.t004,Is your purchasing agent offering too much free [TGT] buying [TGT] service for employees ?,['buying%1:04:00::'],['the act of buying'],[0]
d000.s010.t005,Is your purchasing agent offering too much free buying [TGT] service [TGT] for employees ?,"['service%1:14:05::', 'service%1:04:00::', 'service%1:04:08::', 'service%1:04:02::']","['a company or agency that performs a public service; subject to government regulation', 'an act of help or assistance', 'work done by one person or group that benefits another', '(sports) a stroke that puts the ball in play']","[0, 1]"
d000.s010.t006,Is your purchasing agent offering too much free buying service for [TGT] employees [TGT] ?,['employee%1:18:00::'],['a worker who is hired to perform a job'],[0]
d000.s011.t000,"When [TGT] improvements [TGT] are recommended in working conditions - such as lighting , rest rooms , eating facilities , air-conditioning - do you try to set a measure of their effectiveness on productivity ?","['improvement%1:26:00::', 'improvement%1:11:00::', 'improvement%1:04:00::']","['a condition superior to an earlier condition', 'a change for the better; progress in development', 'the act of improving something']",[2]
d000.s011.t001,"When improvements are [TGT] recommended [TGT] in working conditions - such as lighting , rest rooms , eating facilities , air-conditioning - do you try to set a measure of their effectiveness on productivity ?","['recommend%2:32:01::', 'recommend%2:30:00::', 'recommend%2:32:00::']","['push for something', 'make attractive or acceptable', 'express a good opinion of']",[0]
d000.s011.t002,"When improvements are recommended in [TGT] working [TGT] conditions - such as lighting , rest rooms , eating facilities , air-conditioning - do you try to set a measure of their effectiveness on productivity ?","['working%5:00:00:impermanent:00', 'working%5:00:00:employed:00', 'working%5:00:00:functioning:00', 'working%5:00:02:operative:00']","['adopted as a temporary basis for further work', 'actively engaged in paid work', '(of e.g. a machine) performing or capable of performing', 'serving to permit or facilitate further work or activity']",[1]
d000.s011.t003,"When improvements are recommended in working [TGT] conditions [TGT] - such as lighting , rest rooms , eating facilities , air-conditioning - do you try to set a measure of their effectiveness on productivity ?","['condition%1:26:00::', 'condition%1:26:05::', 'condition%1:09:00::', 'condition%1:26:02::']","['a state at a particular time', 'an illness, disease, or other medical problem', 'information that should be kept in mind when making a decision', ""the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')""]",[0]
d000.s011.t004,"When improvements are recommended in working conditions - such as [TGT] lighting [TGT] , rest rooms , eating facilities , air-conditioning - do you try to set a measure of their effectiveness on productivity ?","['lighting%1:04:00::', 'lighting%1:06:00::', 'lighting%1:04:01::', 'lighting%1:26:00::']","['the act of setting something on fire', 'apparatus for supplying artificial light effects for the stage or a film', 'the craft of providing artificial light', 'having abundant light or illumination']",[1]
d000.s011.t005,"When improvements are recommended in working conditions - such as lighting , [TGT] rest rooms [TGT] , eating facilities , air-conditioning - do you try to set a measure of their effectiveness on productivity ?",['restroom%1:06:00::'],['a toilet that is available to the public'],[0]
d000.s011.t006,"When improvements are recommended in working conditions - such as lighting , rest rooms , [TGT] eating [TGT] facilities , air-conditioning - do you try to set a measure of their effectiveness on productivity ?",['eating%1:04:00::'],['the act of consuming food'],[0]
d000.s011.t007,"When improvements are recommended in working conditions - such as lighting , rest rooms , eating [TGT] facilities [TGT] , air-conditioning - do you try to set a measure of their effectiveness on productivity ?","['facility%1:06:00::', 'facility%1:04:01::', 'facility%1:07:00::', 'facility%1:09:00::']","['a building or place that provides a particular service or is used for a particular industry', 'something designed and created to serve a particular function and to afford a particular convenience or service', 'a natural effortlessness; ; --Jane Austen', 'skillful performance or ability without difficulty']",[0]
d000.s011.t008,"When improvements are recommended in working conditions - such as lighting , rest rooms , eating facilities , air-conditioning - do you [TGT] try [TGT] to set a measure of their effectiveness on productivity ?","['try%2:41:01::', 'try%2:37:00::', 'try%2:34:00::', 'try%2:41:00::']","['put to the test, as for its quality, or give experimental use to', 'test the limits of', 'take a sample of', 'make an effort or attempt']",[3]
d000.s011.t009,"When improvements are recommended in working conditions - such as lighting , rest rooms , eating facilities , air-conditioning - do you try to [TGT] set [TGT] a measure of their effectiveness on productivity ?","['set%2:32:00::', 'set%2:35:05::', 'set%2:30:00::', 'set%2:35:09::']","['decide upon or fix definitely', 'insert (a nail or screw below the surface, as into a countersink)', 'alter or regulate so as to achieve accuracy or conform to a standard', 'put or set (seeds, seedlings, or plants) into the ground']",[0]
d000.s011.t010,"When improvements are recommended in working conditions - such as lighting , rest rooms , eating facilities , air-conditioning - do you try to set a measure of their [TGT] effectiveness [TGT] on productivity ?","['effectiveness%1:07:01::', 'effectiveness%1:07:00::']","['capacity to produce strong physiological or chemical effects', 'power to be effective; the quality of being able to bring about an effect']",[1]
d000.s011.t011,"When improvements are recommended in working conditions - such as lighting , rest rooms , eating facilities , air-conditioning - do you try to set a measure of their effectiveness on [TGT] productivity [TGT] ?","['productivity%1:07:00::', 'productivity%1:24:00::']","['the quality of being productive or having the power to produce', '(economics) the ratio of the quantity and quality of units produced to the labor per unit of time']",[0]
d000.s012.t000,"When [TGT] negotiating [TGT] with your union , do you make sure employees have a choice between new benefits and their cents per hour cost in wages .","['negotiate%2:32:00::', 'negotiate%2:38:00::']","['discuss the terms of an arrangement', 'succeed in passing through, around, or over']",[0]
d000.s012.t001,"When negotiating with your [TGT] union [TGT] , do you make sure employees have a choice between new benefits and their cents per hour cost in wages .","['union%1:14:02::', 'union%1:14:01::', 'union%1:11:00::', 'union%1:26:00::']","['a political unit formed from previously independent people or organizations', 'an organization of employees formed to bargain with the employer', 'the occurrence of a uniting of separate parts', 'the state of being joined or united or linked']",[1]
d000.s012.t002,"When negotiating with your union , do you [TGT] make [TGT] sure employees have a choice between new benefits and their cents per hour cost in wages .","['make%2:31:12::', 'make%2:29:01::', 'make%2:29:00::', 'make%2:30:00::']","['calculate as being', 'eliminate urine', 'have a bowel movement', 'give certain properties to something']",[3]
d000.s012.t003,"When negotiating with your union , do you make [TGT] sure [TGT] employees have a choice between new benefits and their cents per hour cost in wages .","['sure%5:00:02:certain:01', 'sure%5:00:00:careful:00', 'sure%5:00:00:secure:02', 'sure%3:00:04::']","['impossible to doubt or dispute', 'exercising or taking care great enough to bring assurance', 'physically secure or dependable', 'certain to occur; destined or inevitable; ; ; - Benjamin Franklin']",[1]
d000.s012.t004,"When negotiating with your union , do you make sure [TGT] employees [TGT] have a choice between new benefits and their cents per hour cost in wages .",['employee%1:18:00::'],['a worker who is hired to perform a job'],[0]
