id,sentence,sense_keys,glosses,target
d000.s001.t004,"It explains how the Committee for Medicinal Products for [TGT] Human [TGT] Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .","['human%3:01:01::', 'human%3:00:00::', 'human%3:01:00::']","['relating to a person', 'having human form or attributes as opposed to those of animals or divine beings', 'characteristic of humanity']",[0]
d000.s001.t005,"It explains how the Committee for Medicinal Products for Human [TGT] Use [TGT] ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .","['use%1:04:02::', 'use%1:04:00::', 'use%1:07:00::', 'use%1:07:02::', 'use%1:22:00::', 'use%1:07:03::', 'use%1:04:01::']","[""exerting shrewd or devious influence especially for one's own advantage"", 'the act of using', 'what something is used for', 'a particular service', '(economics) the utilization of economic goods to satisfy needs or in manufacturing', '(law) the exercise of the legal right to enjoy the benefits of owning property', '(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition']","[1, 3]"
d000.s001.t006,"It explains how the Committee for Medicinal Products for Human Use ( CHMP ) [TGT] assessed [TGT] the studies performed , to reach their recommendations on how to use the medicine .","['assess%2:40:00::', 'assess%2:31:01::', 'assess%2:31:00::', 'assess%2:40:01::']","['set or determine the amount of (a payment such as a fine)', 'estimate the value of (property) for taxation', 'evaluate or estimate the nature, quality, ability, extent, or significance of', 'charge (a person or a property) with a payment, such as a tax or a fine']",[2]
d000.s001.t007,"It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the [TGT] studies [TGT] performed , to reach their recommendations on how to use the medicine .","['study%1:09:02::', 'study%1:06:00::', 'study%1:09:03::', 'study%1:06:01::', 'study%1:09:04::', 'study%1:10:00::', 'study%1:09:01::', 'study%1:18:00::', 'study%1:04:00::', 'study%1:10:01::']","['a branch of knowledge', 'a room used for reading and writing and studying', 'applying the mind to learning and understanding a subject (especially by reading)', 'preliminary drawing for later elaboration', 'a state of deep mental absorption', 'a written document describing the findings of some individual or group', 'attentive consideration and meditation', 'someone who memorizes quickly and easily (as the lines for a part in a play)', 'a detailed critical inspection', ""a composition intended to develop one aspect of the performer's technique""]",[8]
d000.s001.t008,"It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies [TGT] performed [TGT] , to reach their recommendations on how to use the medicine .","['perform%2:41:00::', 'perform%2:36:00::', 'perform%2:36:01::', 'perform%2:41:02::']","['get (something) done', 'carry out or perform an action', 'give a performance (of something)', 'perform a function']",[1]
d000.s001.t009,"It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to [TGT] reach [TGT] their recommendations on how to use the medicine .","['reach%2:38:06::', 'reach%2:38:00::', 'reach%2:40:00::', 'reach%2:32:00::', 'reach%2:35:00::', 'reach%2:38:01::', 'reach%2:42:00::', 'reach%2:33:00::', 'reach%2:41:00::']","['reach a goal, e.g.,', 'reach a point in time, or a certain state or level', 'place into the hands or custody of', 'be in or establish communication with', 'move forward or upward in order to touch; also in a metaphorical sense', 'reach a destination, either real or abstract', 'to extend as far as', 'to exert much effort or energy', 'to gain with effort']","[0, 8]"
d000.s001.t010,"It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their [TGT] recommendations [TGT] on how to use the medicine .","['recommendation%1:10:02::', 'recommendation%1:10:00::', 'recommendation%1:07:00::']","['something that recommends (or expresses commendation of) a person or thing as worthy or desirable', 'something (as a course of action) that is recommended as advisable', 'any quality or characteristic that gains a person a favorable reception or acceptance or admission']",[1]
d000.s001.t011,"It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to [TGT] use [TGT] the medicine .","['use%2:34:01::', 'use%2:41:14::', 'use%2:34:00::', 'use%2:41:03::', 'use%2:41:04::', 'use%2:34:02::']","['put into service; make work or employ for a particular purpose or for its inherent or natural purpose', ""seek or achieve an end by using to one's advantage"", 'use up, consume fully', 'habitually do something (use only in the past tense)', 'avail oneself to', 'take or consume (regularly or habitually)']","[0, 5]"
d000.s001.t012,"It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the [TGT] medicine [TGT] .","['medicine%1:09:00::', 'medicine%1:06:00::', 'medicine%1:04:00::', 'medicine%1:04:02::']","['the branches of medical science that deal with nonsurgical techniques', '(medicine) something that treats or prevents or alleviates the symptoms of disease', 'the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries', ""punishment for one's actions""]",[1]
d000.s002.t000,"If you [TGT] need [TGT] more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['need%2:34:00::', 'need%2:34:01::', 'need%2:42:00::']","['have need of', 'have or feel a need for', 'require as useful, just, or proper']","[1, 0]"
d000.s002.t001,"If you need [TGT] more [TGT] information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['more%3:00:01::', 'more%3:00:02::']","[""(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree"", ""(comparative of `many' used with count nouns) quantifier meaning greater in number""]",[0]
d000.s002.t002,"If you need more [TGT] information [TGT] about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['information%1:10:00::', 'information%1:09:00::', 'information%1:10:02::', 'information%1:07:00::', 'information%1:14:00::']","['a message received and understood', 'knowledge acquired through study or experience or instruction', 'formal accusation of a crime', '(communication theory) a numerical measure of the uncertainty of an outcome', 'a collection of facts from which conclusions may be drawn']","[4, 1]"
d000.s002.t003,"If you need more information about your [TGT] medical [TGT] condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['medical%3:00:00::', 'medical%3:01:02::', 'medical%3:01:00::']","['requiring or amenable to treatment by medicine especially as opposed to surgery', 'of or belonging to Aesculapius or the healing art', 'relating to the study or practice of medicine']",[0]
d000.s002.t004,"If you need more information about your medical [TGT] condition [TGT] or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['condition%1:10:01::', 'condition%1:09:01::', 'condition%1:10:02::', 'condition%1:26:00::', 'condition%1:09:00::', 'condition%1:26:01::', 'condition%1:26:02::', 'condition%1:26:05::']","['an assumption on which rests the validity or effect of something else', ""the procedure that is varied in order to estimate a variable's effect by comparison with a control condition"", '(usually plural) a statement of what is required as part of an agreement', 'a state at a particular time', 'information that should be kept in mind when making a decision', 'a mode of being or form of existence of a person or thing', ""the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')"", 'an illness, disease, or other medical problem']",[7]
d000.s002.t005,"If you need more information about your medical condition or your [TGT] treatment [TGT] , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['treatment%1:07:00::', 'treatment%1:10:00::', 'treatment%1:04:01::', 'treatment%1:04:00::']","['a manner of dealing with something artistically', 'an extended communication (often interactive) dealing with some particular topic', 'the management of someone or something', 'care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)']",[3]
d000.s002.t006,"If you need more information about your medical condition or your treatment , [TGT] read [TGT] the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['read%2:31:02::', 'read%2:31:00::', 'read%2:31:06::', 'read%2:31:09::', 'read%2:31:04::', 'read%2:42:00::', 'read%2:31:01::', 'read%2:36:05::', 'read%2:32:02::', 'read%2:31:05::', 'read%2:31:08::']","['interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior', 'interpret something that is written or printed', 'obtain data from magnetic tapes', 'interpret something in a certain way; convey a particular meaning or impression', 'make sense of a language', 'have or contain a certain wording or form', 'look at, interpret, and say out loud something that is written or printed', 'audition for a stage role by reading parts of a role', 'indicate a certain reading; of gauges and instruments', 'be a student of a certain subject', 'to hear and understand']",[1]
d000.s002.t007,"If you need more information about your medical condition or your treatment , read the [TGT] Package [TGT] Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .","['package%1:06:00::', 'package%1:10:00::', 'package%1:14:00::']","['a wrapped container', '(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory', 'a collection of things wrapped or boxed together']","[2, 0]"
d000.s002.t008,"If you need more information about your medical condition or your treatment , read the Package [TGT] Leaflet [TGT] ( also part of the EPAR ) or contact your doctor or pharmacist .","['leaflet%1:10:00::', 'leaflet%1:08:00::', 'leaflet%1:20:00::']","['a small book usually having a paper cover', 'a thin triangular flap of a heart valve', 'part of a compound leaf']",[0]
d000.s002.t009,"If you need more information about your medical condition or your treatment , read the Package Leaflet ( [TGT] also [TGT] part of the EPAR ) or contact your doctor or pharmacist .",['also%4:02:00::'],['in addition'],[0]
d000.s002.t010,"If you need more information about your medical condition or your treatment , read the Package Leaflet ( also [TGT] part [TGT] of the EPAR ) or contact your doctor or pharmacist .","['part%1:04:01::', 'part%1:10:00::', 'part%1:17:00::', 'part%1:04:03::', 'part%1:09:00::', 'part%1:21:00::', 'part%1:06:00::', 'part%1:09:02::', 'part%1:24:00::', 'part%1:09:01::', 'part%1:08:01::', 'part%1:15:00::']","['the actions and activities assigned to or required or expected of a person or group', 'the melody carried by a particular voice or instrument in polyphonic music', 'a portion of a natural object', 'the part played by a person in bringing about a result', 'one of the portions into which something is regarded as divided and which together constitute a whole', 'assets belonging to or due to or contributed by an individual person or group', 'something less than the whole of a human artifact', 'that which concerns a person with regard to a particular role or situation', 'something determined in relation to something that includes it', ""an actor's portrayal of someone in a play"", 'a line of scalp that can be seen when sections of hair are combed in opposite directions', 'the extended spatial location of something']","[4, 8]"
d000.s002.t011,"If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or [TGT] contact [TGT] your doctor or pharmacist .","['contact%2:35:03::', 'contact%2:32:00::']","['be in direct physical contact with; make contact', 'be in or establish communication with']",[1]
d000.s002.t012,"If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your [TGT] doctor [TGT] or pharmacist .","['doctor%1:18:02::', 'doctor%1:18:00::', 'doctor%1:04:00::', 'doctor%1:18:01::']","['(Roman Catholic Church) a title conferred on 33 saints who distinguished themselves through the orthodoxy of their theological teaching', 'a licensed medical practitioner', ""children take the roles of physician or patient or nurse and pretend they are at the physician's office"", 'a person who holds Ph.D. degree (or the equivalent) from an academic institution']",[1]
d000.s002.t013,"If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or [TGT] pharmacist [TGT] .",['pharmacist%1:18:00::'],['a health professional trained in the art of preparing and dispensing drugs'],[0]
d000.s003.t000,"If you [TGT] want [TGT] more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .","['want%2:42:01::', 'want%2:31:01::', 'want%2:37:00::', 'want%2:34:00::', 'want%2:35:00::']","['be without, lack; be deficient in', 'wish or demand the presence of', 'feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason']",[2]
d000.s003.t001,"If you want [TGT] more [TGT] information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .","['more%3:00:01::', 'more%3:00:02::']","[""(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree"", ""(comparative of `many' used with count nouns) quantifier meaning greater in number""]",[0]
d000.s003.t002,"If you want more [TGT] information [TGT] on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .","['information%1:10:00::', 'information%1:09:00::', 'information%1:10:02::', 'information%1:07:00::', 'information%1:14:00::']","['a message received and understood', 'knowledge acquired through study or experience or instruction', 'formal accusation of a crime', '(communication theory) a numerical measure of the uncertainty of an outcome', 'a collection of facts from which conclusions may be drawn']","[4, 1]"
d000.s003.t003,"If you want more information on the [TGT] basis [TGT] of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .","['basis%1:24:00::', 'basis%1:09:00::', 'basis%1:24:01::']","['a relation that provides the foundation for something', 'the fundamental assumptions from which something is begun or developed or calculated or explained', 'the most important or necessary part of something']","[0, 1]"
d000.s003.t004,"If you want more information on the basis of the CHMP [TGT] recommendations [TGT] , read the Scientific Discussion ( also part of the EPAR ) .","['recommendation%1:10:02::', 'recommendation%1:10:00::', 'recommendation%1:07:00::']","['something that recommends (or expresses commendation of) a person or thing as worthy or desirable', 'something (as a course of action) that is recommended as advisable', 'any quality or characteristic that gains a person a favorable reception or acceptance or admission']",[1]
d000.s003.t005,"If you want more information on the basis of the CHMP recommendations , [TGT] read [TGT] the Scientific Discussion ( also part of the EPAR ) .","['read%2:31:02::', 'read%2:31:00::', 'read%2:31:06::', 'read%2:31:09::', 'read%2:31:04::', 'read%2:42:00::', 'read%2:31:01::', 'read%2:36:05::', 'read%2:32:02::', 'read%2:31:05::', 'read%2:31:08::']","['interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior', 'interpret something that is written or printed', 'obtain data from magnetic tapes', 'interpret something in a certain way; convey a particular meaning or impression', 'make sense of a language', 'have or contain a certain wording or form', 'look at, interpret, and say out loud something that is written or printed', 'audition for a stage role by reading parts of a role', 'indicate a certain reading; of gauges and instruments', 'be a student of a certain subject', 'to hear and understand']",[1]
d000.s003.t006,"If you want more information on the basis of the CHMP recommendations , read the [TGT] Scientific [TGT] Discussion ( also part of the EPAR ) .","['scientific%3:01:00::', 'scientific%3:00:00::']","['of or relating to the practice of science', 'conforming with the principles or methods used in science']","[1, 0]"
d000.s003.t007,"If you want more information on the basis of the CHMP recommendations , read the Scientific [TGT] Discussion [TGT] ( also part of the EPAR ) .","['discussion%1:10:02::', 'discussion%1:10:00::']","['an extended communication (often interactive) dealing with some particular topic', 'an exchange of views on some topic']",[0]
d000.s003.t008,"If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( [TGT] also [TGT] part of the EPAR ) .",['also%4:02:00::'],['in addition'],[0]
d000.s003.t009,"If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also [TGT] part [TGT] of the EPAR ) .","['part%1:04:01::', 'part%1:10:00::', 'part%1:17:00::', 'part%1:04:03::', 'part%1:09:00::', 'part%1:21:00::', 'part%1:06:00::', 'part%1:09:02::', 'part%1:24:00::', 'part%1:09:01::', 'part%1:08:01::', 'part%1:15:00::']","['the actions and activities assigned to or required or expected of a person or group', 'the melody carried by a particular voice or instrument in polyphonic music', 'a portion of a natural object', 'the part played by a person in bringing about a result', 'one of the portions into which something is regarded as divided and which together constitute a whole', 'assets belonging to or due to or contributed by an individual person or group', 'something less than the whole of a human artifact', 'that which concerns a person with regard to a particular role or situation', 'something determined in relation to something that includes it', ""an actor's portrayal of someone in a play"", 'a line of scalp that can be seen when sections of hair are combed in opposite directions', 'the extended spatial location of something']","[4, 8]"
d000.s005.t000,Alimta is a [TGT] powder [TGT] that is made up into a solution for infusion ( drip into a vein ) .,"['powder%1:27:01::', 'powder%1:27:00::', 'powder%1:06:01::']","['a mixture of potassium nitrate, charcoal, and sulfur in a 75:15:10 ratio which is used in gunnery, time fuses, and fireworks', 'a solid substance in the form of tiny loose particles; a solid that has been pulverized', 'any of various cosmetic or medical preparations dispensed in the form of a pulverized powder']","[2, 1]"
d000.s005.t001,Alimta is a powder that is [TGT] made up [TGT] into a solution for infusion ( drip into a vein ) .,"['make_up%2:42:03::', 'make_up%2:36:03::', 'make_up%2:29:00::', 'make_up%2:32:00::', 'make_up%2:40:00::', 'make_up%2:41:00::', 'make_up%2:42:00::', 'make_up%2:36:01::', 'make_up%2:30:00::']","['adjust for', 'devise or compose', ""apply make-up or cosmetics to one's face to appear prettier"", 'come to terms', 'do or give something to somebody in return', 'make up work that was missed due to absence at a later point', 'form or compose', 'make up something artificial or untrue', 'put in order or neaten']",[6]
d000.s005.t002,Alimta is a powder that is made up into a [TGT] solution [TGT] for infusion ( drip into a vein ) .,"['solution%1:09:00::', 'solution%1:10:00::', 'solution%1:04:00::', 'solution%1:14:00::', 'solution%1:27:00::']","['a method for solving a problem', 'a statement that solves a problem or explains how to solve the problem', 'the successful action of solving a problem', 'the set of values that give a true statement when substituted into an equation', 'a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution']",[4]
d000.s005.t003,Alimta is a powder that is made up into a solution for [TGT] infusion [TGT] ( drip into a vein ) .,"['infusion%1:04:00::', 'infusion%1:22:00::', 'infusion%1:04:01::', 'infusion%1:27:00::']","['(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)', 'the process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water)', 'the act of infusing or introducing a certain modifying element or quality', 'a solution obtained by steeping or soaking a substance (usually in water)']",[0]
d000.s005.t004,Alimta is a powder that is made up into a solution for infusion ( [TGT] drip [TGT] into a vein ) .,"['drip%2:35:10::', 'drip%2:38:00::']","['let or cause to fall in drops', 'fall in drops']",[0]
d000.s005.t005,Alimta is a powder that is made up into a solution for infusion ( drip into a [TGT] vein [TGT] ) .,"['vein%1:08:00::', 'vein%1:10:00::', 'vein%1:05:00::', 'vein%1:17:00::', 'vein%1:20:00::']","['a blood vessel that carries blood from the capillaries toward the heart', 'a distinctive style or manner', 'one of the horny ribs that stiffen and support the wing of an insect', 'a layer of ore between layers of rock', 'any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ']",[0]
d000.s006.t000,It [TGT] contains [TGT] the active substance pemetrexed .,"['contain%2:42:00::', 'contain%2:42:06::', 'contain%2:33:00::', 'contain%2:41:00::', 'contain%2:42:13::', 'contain%2:42:14::']","['include or contain; have as a component', 'be divisible by', 'hold back, as of a danger or an enemy; check the expansion or influence of', 'lessen the intensity of; temper; hold in restraint; hold or keep within limits', 'contain or hold; have within', 'be capable of holding or containing']",[0]
d000.s006.t001,It contains the [TGT] active [TGT] substance pemetrexed .,"['active%5:00:00:involved:00', 'active%3:00:06::', 'active%3:00:04::', 'active%3:00:07::', 'active%3:00:03::', 'active%3:00:01::', 'active%5:00:00:existent:00', 'active%3:00:09::', 'active%3:00:00::', 'active%3:00:05::', 'active%3:00:02::', 'active%5:00:00:operational:00', 'active%3:00:10::', 'active%3:00:08::']","['taking part in an activity', 'full of activity or engaged in continuous activity', '(of e.g. volcanos) erupting or liable to erupt', 'exerting influence or producing a change or effect', 'disposed to take action or effectuate change', 'characterized by energetic activity', 'in operation', 'expressing that the subject of the sentence has the semantic function of actor:', ""(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being"", '(of e.g. volcanos) capable of erupting', 'tending to become more severe or wider in scope', 'engaged in or ready for military or naval operations', '(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions', 'engaged in full-time work']",[3]
d000.s006.t002,It contains the active [TGT] substance [TGT] pemetrexed .,"['substance%1:10:00::', 'substance%1:09:01::', 'substance%1:09:00::', 'substance%1:03:01::', 'substance%1:27:00::', 'substance%1:21:00::', 'substance%1:03:00::']","['what a communication that is about something is about', 'the choicest or most essential or most vital part of some idea or experience', 'the idea that is intended', 'a particular kind or species of matter with uniform properties', 'material of a particular kind or constitution', 'considerable capital (wealth or income)', 'the real physical matter of which a person or thing consists']","[3, 4]"
d000.s007.t000,What is Alimta [TGT] used [TGT] for ?,"['use%2:34:01::', 'use%2:41:14::', 'use%2:34:00::', 'use%2:41:03::', 'use%2:41:04::', 'use%2:34:02::']","['put into service; make work or employ for a particular purpose or for its inherent or natural purpose', ""seek or achieve an end by using to one's advantage"", 'use up, consume fully', 'habitually do something (use only in the past tense)', 'avail oneself to', 'take or consume (regularly or habitually)']","[0, 5]"
d000.s008.t000,Alimta is [TGT] used [TGT] to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .,"['use%2:34:01::', 'use%2:41:14::', 'use%2:34:00::', 'use%2:41:03::', 'use%2:41:04::', 'use%2:34:02::']","['put into service; make work or employ for a particular purpose or for its inherent or natural purpose', ""seek or achieve an end by using to one's advantage"", 'use up, consume fully', 'habitually do something (use only in the past tense)', 'avail oneself to', 'take or consume (regularly or habitually)']","[0, 5]"
d000.s008.t001,Alimta is used to [TGT] treat [TGT] two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .,"['treat%2:32:00::', 'treat%2:41:00::', 'treat%2:31:00::', 'treat%2:40:00::', 'treat%2:29:00::', 'treat%2:32:03::', 'treat%2:30:01::', 'treat%2:34:00::']","['act on verbally or in some form of artistic expression', 'interact in a certain way', 'regard or consider in a specific way', 'provide with a gift or entertainment', 'provide treatment for', 'engage in negotiations in order to reach an agreement', 'subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition', 'provide with choice or abundant food or drink']",[4]
d000.s008.t002,Alimta is used to treat two [TGT] types [TGT] of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .,"['type%1:14:01::', 'type%1:10:00::', 'type%1:18:00::', 'type%1:06:00::', 'type%1:09:00::', 'type%1:10:01::']","['(biology) the taxonomic group whose characteristics are used to define the next higher taxon', 'all of the tokens of the same symbol', 'a person of a specified kind (usually with many eccentricities)', 'a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper', 'a subdivision of a particular kind of thing', 'printed characters']",[4]
d000.s008.t003,Alimta is used to treat two types of [TGT] cancer [TGT] : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .,"['cancer%1:26:00::', 'cancer%1:17:00::', 'cancer%1:05:00::', 'cancer%1:15:00::', 'cancer%1:18:00::']","['any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', 'a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'type genus of the family Cancridae', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', '(astrology) a person who is born while the sun is in Cancer']",[0]
d000.s008.t004,Alimta is used to treat two types of cancer : [TGT] pleural [TGT] mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .,['pleural%3:01:00::'],['of or relating to the pleura or the walls of the thorax'],[0]
d000.s008.t005,Alimta is used to treat two types of cancer : pleural [TGT] mesothelioma [TGT] ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .,['mesothelioma%1:26:00::'],['a form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust'],[0]
d000.s008.t006,Alimta is used to treat two types of cancer : pleural mesothelioma ( [TGT] cancer [TGT] of the lining of the lungs that is usually caused by exposure to asbestos ) .,"['cancer%1:26:00::', 'cancer%1:17:00::', 'cancer%1:05:00::', 'cancer%1:15:00::', 'cancer%1:18:00::']","['any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream', 'a small zodiacal constellation in the northern hemisphere; between Leo and Gemini', 'type genus of the family Cancridae', 'the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22', '(astrology) a person who is born while the sun is in Cancer']",[0]
d000.s008.t007,Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the [TGT] lining [TGT] of the lungs that is usually caused by exposure to asbestos ) .,"['lining%1:04:00::', 'lining%1:06:00::', 'lining%1:06:01::', 'lining%1:04:01::']","['the act of attaching an inside lining (to a garment or curtain etc.)', 'a protective covering that protects an inside surface', 'a piece of cloth that is used as the inside surface of a garment', 'providing something with a surface of a different material']",[1]
d000.s008.t008,Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the [TGT] lungs [TGT] that is usually caused by exposure to asbestos ) .,['lung%1:08:00::'],['either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood'],[0]
d000.s008.t009,Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is [TGT] usually [TGT] caused by exposure to asbestos ) .,['usually%4:02:00::'],['under normal conditions'],[0]
d000.s008.t010,Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually [TGT] caused [TGT] by exposure to asbestos ) .,"['cause%2:36:00::', 'cause%2:32:00::']","['give rise to; cause to happen or occur, not always intentionally', 'cause to do; cause to act in a specified manner']",[0]
