id,sentence,sense_keys,glosses,target
d000.s004.t005,"But his new-found buddy had matched him drink for drink until he [TGT] lost [TGT] count , and the man 's eyes were still clear .","['lose%2:40:06::', 'lose%2:40:02::', 'lose%2:33:00::', 'lose%2:40:00::', 'lose%2:33:01::', 'lose%2:39:00::', 'lose%2:30:03::', 'lose%2:40:01::', 'lose%2:37:00::', 'lose%2:39:01::', 'lose%2:35:00::']","['fail to make money in a business; make a loss or fail to profit', 'fail to keep or to maintain; cease to have, either physically or in an abstract sense', 'fail to win', 'fail to get or obtain', 'retreat', 'allow to go out of sight', 'be set at a disadvantage', ""miss from one's possessions; lose sight of"", 'suffer the loss of a person through death or removal', 'fail to perceive or to catch with the senses or the mind', 'place (something) where one cannot find it again']",[1]
d000.s004.t006,"But his new-found buddy had matched him drink for drink until he lost [TGT] count [TGT] , and the man 's eyes were still clear .","['count%1:23:00::', 'count%1:18:00::', 'count%1:04:00::']","['the total number counted', 'a nobleman (in various countries) having rank equal to a British earl', 'the act of counting; reciting numbers in ascending order']",[0]
d000.s004.t007,"But his new-found buddy had matched him drink for drink until he lost count , and the [TGT] man [TGT] 's eyes were still clear .","['man%1:18:06::', 'man%1:05:01::', 'man%1:18:00::', 'man%1:15:00::', 'man%1:05:00::', 'man%1:18:03::', 'man%1:18:07::', 'man%1:18:05::', 'man%1:18:08::', 'man%1:18:04::', 'man%1:06:00::']","['an adult male person who has a manly character (virile and courageous competent)', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'an adult person who is male (as opposed to a woman)', 'one of the British Isles in the Irish Sea', 'all of the living human inhabitants of the earth', 'someone who serves in the armed forces; a member of a military force', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'a manservant who acts as a personal attendant to his employer', 'a male subordinate', 'the generic use of the word to refer to any human being', 'game equipment consisting of an object used in playing certain board games']",[2]
d000.s004.t008,"But his new-found buddy had matched him drink for drink until he lost count , and the man 's [TGT] eyes [TGT] were still clear .","['eye%1:06:00::', 'eye%1:09:00::', 'eye%1:08:00::', 'eye%1:09:01::', 'eye%1:15:00::']","['a small hole or loop (as in a needle)', 'good discernment (either visually or as if visually)', 'the organ of sight', 'attention to what is seen', 'an area that is approximately central within some larger region']",[2]
d000.s004.t009,"But his new-found buddy had matched him drink for drink until he lost count , and the man 's eyes were still [TGT] clear [TGT] .","['clear%5:00:00:distinct:00', 'clear%5:00:00:legible:00', 'clear%5:00:00:net:00', 'clear%5:00:00:unencumbered:00', 'clear%3:00:00::', 'clear%5:00:00:unobstructed:00', 'clear%5:00:01:pure:02', 'clear%3:00:03::', 'clear%5:00:00:untroubled:00', 'clear%5:00:02:free:00', 'clear%5:00:00:innocent:00', 'clear%5:00:00:clearheaded:00', 'clear%5:00:00:perfect:00', 'clear%3:00:04::', 'clear%5:00:00:unqualified:02', 'clear%5:00:00:discerning:00', 'clear%3:00:02::']","['clear and distinct to the senses; easily perceptible', 'easily deciphered', 'clear of charges or deductions', '(especially of a title) free from any encumbrance or limitation that presents a question of fact or law', 'readily apparent to the mind', 'affording free passage or view', '(of sound or color) free from anything that dulls or dims', 'free from clouds or mist or haze', 'characterized by freedom from troubling thoughts (especially guilt)', 'free from contact or proximity or connection', 'freed from any question of guilt', 'free from confusion or doubt', 'free from flaw or blemish or impurity', 'accurately stated or described', 'free of restrictions or qualifications', 'characterized by ease and quickness in perceiving', 'allowing light to pass through']",[16]
d000.s005.t000,"The [TGT] guy [TGT] is off his rocker , Haney thought to himself , and looked away from those eyes .","['guy%1:06:00::', 'guy%1:18:00::', 'guy%1:06:01::']","['a cable, wire, or rope that is used to brace something (especially a tent)', 'an informal term for a youth or man', 'an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day']",[1]
d000.s005.t001,"The guy is off his [TGT] rocker [TGT] , Haney thought to himself , and looked away from those eyes .","['rocker%1:18:00::', 'rocker%1:06:02::', 'rocker%1:18:01::', 'rocker%1:18:02::', 'rocker%1:06:01::', 'rocker%1:06:03::', 'rocker%1:06:00::']","['a teenager or young adult in the 1960s who wore leather jackets and rode motorcycles', 'an ice skate with a curved blade', 'a performer or composer or fan of rock music', 'an attendant who rocks a child in a cradle', 'a chair mounted on rockers', 'a trough that can be rocked back and forth; used by gold miners to shake auriferous earth in water in order to separate the gold', 'a curved support that permits the supported object to rock to and fro']",[4]
d000.s005.t002,"The guy is off his rocker , Haney [TGT] thought [TGT] to himself , and looked away from those eyes .","['think%2:31:09::', 'think%2:31:15::', 'think%2:31:00::', 'think%2:31:12::', 'think%2:31:14::', 'think%2:30:00::', 'think%2:36:00::', 'think%2:31:08::', 'think%2:31:01::', 'think%2:31:02::', 'think%2:31:13::', 'think%2:31:06::', 'think%2:31:03::']","[""focus one's attention on a certain state"", 'dispose the mind in a certain way', ""use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments"", 'decide by pondering, reasoning, or reflecting', 'have or formulate in the mind', 'bring into a given condition by mental preoccupation', 'imagine or visualize', 'be capable of conscious thought', 'judge or regard; look upon; judge', 'recall knowledge from memory; have a recollection', 'ponder; reflect on, or reason about', 'have in mind as a purpose', 'expect, believe, or suppose']",[3]
d000.s005.t003,"The guy is off his rocker , Haney thought to himself , and [TGT] looked away [TGT] from those eyes .",['look_away%2:39:00::'],"[""avert one's gaze""]",[0]
d000.s005.t004,"The guy is off his rocker , Haney thought to himself , and looked away from those [TGT] eyes [TGT] .","['eye%1:06:00::', 'eye%1:09:00::', 'eye%1:08:00::', 'eye%1:09:01::', 'eye%1:15:00::']","['a small hole or loop (as in a needle)', 'good discernment (either visually or as if visually)', 'the organ of sight', 'attention to what is seen', 'an area that is approximately central within some larger region']",[2]
d000.s006.t000,"[TGT] Eyes [TGT] that were clear , but also bright with a strange intensity , a sort of cold fire burning behind them .","['eye%1:06:00::', 'eye%1:09:00::', 'eye%1:08:00::', 'eye%1:09:01::', 'eye%1:15:00::']","['a small hole or loop (as in a needle)', 'good discernment (either visually or as if visually)', 'the organ of sight', 'attention to what is seen', 'an area that is approximately central within some larger region']",[2]
d000.s006.t001,"Eyes that were [TGT] clear [TGT] , but also bright with a strange intensity , a sort of cold fire burning behind them .","['clear%5:00:00:distinct:00', 'clear%5:00:00:legible:00', 'clear%5:00:00:net:00', 'clear%5:00:00:unencumbered:00', 'clear%3:00:00::', 'clear%5:00:00:unobstructed:00', 'clear%5:00:01:pure:02', 'clear%3:00:03::', 'clear%5:00:00:untroubled:00', 'clear%5:00:02:free:00', 'clear%5:00:00:innocent:00', 'clear%5:00:00:clearheaded:00', 'clear%5:00:00:perfect:00', 'clear%3:00:04::', 'clear%5:00:00:unqualified:02', 'clear%5:00:00:discerning:00', 'clear%3:00:02::']","['clear and distinct to the senses; easily perceptible', 'easily deciphered', 'clear of charges or deductions', '(especially of a title) free from any encumbrance or limitation that presents a question of fact or law', 'readily apparent to the mind', 'affording free passage or view', '(of sound or color) free from anything that dulls or dims', 'free from clouds or mist or haze', 'characterized by freedom from troubling thoughts (especially guilt)', 'free from contact or proximity or connection', 'freed from any question of guilt', 'free from confusion or doubt', 'free from flaw or blemish or impurity', 'accurately stated or described', 'free of restrictions or qualifications', 'characterized by ease and quickness in perceiving', 'allowing light to pass through']","[15, 16]"
d000.s006.t002,"Eyes that were clear , but also [TGT] bright [TGT] with a strange intensity , a sort of cold fire burning behind them .","['bright%5:00:00:happy:00', 'bright%5:00:00:reverberant:00', 'bright%3:00:00::', 'bright%5:00:00:polished:00', 'bright%5:00:00:light:06', 'bright%5:00:00:intelligent:00', 'bright%5:00:00:auspicious:00', 'bright%3:00:02::', 'bright%5:00:00:colorful:00', 'bright%5:00:00:glorious:00']","['characterized by happiness or gladness', 'clear and sharp and ringing', 'emitting or reflecting light readily or in large amounts', 'made smooth and bright by or as if by rubbing; reflecting a sheen or glow', 'having lots of light either natural or artificial', 'characterized by quickness and ease in learning', 'full or promise', 'not made dim or less bright', 'having striking color', 'splendid']",[8]
d000.s006.t003,"Eyes that were clear , but also bright with a [TGT] strange [TGT] intensity , a sort of cold fire burning behind them .","['strange%3:00:01::', 'strange%5:00:01:unfamiliar:00', 'strange%3:00:00::']","['relating to or originating in or characteristic of another place or part of the world', 'not known before', 'being definitely out of the ordinary and unexpected; slightly odd or even a bit weird']",[2]
d000.s006.t004,"Eyes that were clear , but also bright with a strange [TGT] intensity [TGT] , a sort of cold fire burning behind them .","['intensity%1:07:03::', 'intensity%1:07:02::', 'intensity%1:07:01::', 'intensity%1:07:00::']","['the amount of energy transmitted (as by acoustic or electromagnetic radiation)', 'the magnitude of sound (usually in a specified direction)', 'chromatic purity: freedom from dilution with white and hence vivid in hue', 'high level or degree; the property of being intense']",[3]
d000.s006.t005,"Eyes that were clear , but also bright with a strange intensity , a sort of [TGT] cold [TGT] fire burning behind them .","['cold%3:00:02::', 'cold%5:00:00:unconscious:00', 'cold%5:00:00:unloving:00', 'cold%5:00:00:dead:01', 'cold%5:00:00:unenthusiastic:00', 'cold%5:00:00:unoriginal:00', 'cold%5:00:00:intense:00', 'cold%5:00:00:inhumane:00', 'cold%5:00:00:perfect:00', 'cold%5:00:00:far:00', 'cold%3:00:01::', 'cold%5:00:00:stale:00', 'cold%5:00:00:cool:03']","['extended meanings; especially of psychological coldness; without human warmth or emotion', 'unconscious from a blow or shock or intoxication', 'sexually unresponsive', 'lacking the warmth of life', 'feeling or showing no enthusiasm', 'lacking originality or spontaneity; no longer new', 'so intense as to be almost uncontrollable', 'without compunction or human feeling', 'marked by errorless familiarity', 'of a seeker; far from the object sought', 'having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration', 'having lost freshness through passage of time', '(color) giving no sensation of warmth']","[6, 0]"
d000.s006.t006,"Eyes that were clear , but also bright with a strange intensity , a sort of cold [TGT] fire [TGT] burning behind them .","['fire%1:27:01::', 'fire%1:22:00::', 'fire%1:11:01::', 'fire%1:11:00::', 'fire%1:27:00::', 'fire%1:10:00::', 'fire%1:06:00::', 'fire%1:04:00::', 'fire%1:12:00::']","['once thought to be one of four elements composing the universe (Empedocles)', 'the process of combustion of inflammable materials producing heat and light and (often) smoke', 'a severe trial', 'the event of something burning (often destructive)', 'fuel that is burning and is used as a means for cooking', 'intense adverse criticism', 'a fireplace in which a relatively small fire is burning', 'the act of firing weapons or artillery at an enemy', 'feelings of great warmth and intensity']",[8]
d000.s006.t007,"Eyes that were clear , but also bright with a strange intensity , a sort of cold fire [TGT] burning [TGT] behind them .","['burn%2:30:00::', 'burn%2:43:01::', 'burn%2:37:00::', 'burn%2:30:08::', 'burn%2:30:01::', 'burn%2:40:01::', 'burn%2:29:00::', 'burn%2:36:05::', 'burn%2:43:02::', 'burn%2:30:02::', 'burn%2:30:03::', 'burn%2:41:00::', 'burn%2:39:04::', 'burn%2:34:00::', 'burn%2:39:00::']","['undergo combustion', 'shine intensely, as if with heat', 'feel strong emotion, especially anger or passion', 'burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent', 'cause to undergo combustion', 'spend (significant amounts of money)', 'get a sunburn by overexposure to the sun', 'create by duplicating data', 'cause to burn or combust', 'destroy by fire', 'burn with heat, fire, or radiation', 'burn at the stake', 'feel hot or painful', 'use up (energy)', 'cause a sharp or stinging pain or discomfort']",[2]
d000.s007.t000,Why had n't he [TGT] noticed [TGT] it before ?,"['notice%2:32:01::', 'notice%2:39:00::', 'notice%2:32:00::', 'notice%2:39:04::']","['express recognition of the presence or existence of, or acquaintance with', 'notice or perceive', 'make or write a comment on', 'discover or determine the existence, presence, or fact of']",[1]
d000.s008.t000,"No , the [TGT] man [TGT] was not drunk","['man%1:18:06::', 'man%1:05:01::', 'man%1:18:00::', 'man%1:15:00::', 'man%1:05:00::', 'man%1:18:03::', 'man%1:18:07::', 'man%1:18:05::', 'man%1:18:08::', 'man%1:18:04::', 'man%1:06:00::']","['an adult male person who has a manly character (virile and courageous competent)', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'an adult person who is male (as opposed to a woman)', 'one of the British Isles in the Irish Sea', 'all of the living human inhabitants of the earth', 'someone who serves in the armed forces; a member of a military force', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'a manservant who acts as a personal attendant to his employer', 'a male subordinate', 'the generic use of the word to refer to any human being', 'game equipment consisting of an object used in playing certain board games']",[2]
d000.s008.t001,"No , the man was not [TGT] drunk [TGT]","['drunk%5:00:00:excited:00', 'drunk%3:00:00::']","['as if under the influence of alcohol', 'stupefied or excited by a chemical substance (especially alcohol)']",[1]
d000.s009.t000,He [TGT] wondered [TGT] how he got tied up with this stranger .,"['wonder%2:32:01::', 'wonder%2:31:00::', 'wonder%2:32:12::']","['place in doubt or express doubtful speculation', 'have a wish or desire to know something', 'be amazed at']",[0]
d000.s009.t001,He wondered how he [TGT] got [TGT] tied up with this stranger .,"['get%2:35:00::', 'get%2:29:11::', 'get%2:37:12::', 'get%2:40:01::', 'get%2:32:03::', 'get%2:40:14::', 'get%2:36:14::', 'get%2:39:09::', 'get%2:30:02::', 'get%2:29:00::', 'get%2:40:00::', 'get%2:35:09::', 'get%2:39:14::', 'get%2:30:00::', 'get%2:31:09::', 'get%2:30:12::', 'get%2:29:01::', 'get%2:30:03::', 'get%2:39:00::', 'get%2:38:12::', 'get%2:32:00::', 'get%2:29:08::', 'get%2:33:00::', 'get%2:35:03::', 'get%2:30:01::', 'get%2:35:12::', 'get%2:31:10::', 'get%2:38:15::', 'get%2:35:10::', 'get%2:31:03::', 'get%2:37:11::', 'get%2:32:08::', 'get%2:39:13::', 'get%2:38:00::', 'get%2:40:13::', 'get%2:36:00::']","['attract and fix', 'undergo (as of injuries and illnesses)', 'irritate', 'achieve a point or goal', 'communicate with a place or person; establish communication with, as if by telephone', 'acquire as a result of some effort or action', 'apprehend and reproduce accurately', 'suffer from the receipt of', 'cause to move; cause to be in a certain position or condition', 'be stricken by an illness, fall victim to an illness', 'come into the possession of something concrete or abstract', 'succeed in catching or seizing, especially after a chase', 'receive as a retribution or punishment', 'enter or assume a certain state or condition', 'grasp with the mind or develop an understanding of', 'take the first step or steps in carrying out an action', 'come to have or undergo a change of (physical features and attributes)', 'receive a specified treatment (abstract)', 'go through (mental or physical states or experiences)', 'reach and board', 'cause to do; cause to act in a specified manner', 'make children', 'take vengeance on or get even', 'go or come after and bring or take back', 'give certain properties to something', 'overcome or destroy', 'be a mystery or bewildering to', 'leave immediately; used usually in the imperative form', 'reach with a blow or hit in a particular spot', 'reach by calculation', 'evoke an emotional response', 'move into a desired direction of discourse', 'perceive by hearing', 'reach a destination; arrive by movement or progress', 'purchase', 'earn or achieve a base by being walked by the pitcher']",[13]
d000.s009.t002,He wondered how he got [TGT] tied [TGT] up with this stranger .,"['tie%2:41:00::', 'tie%2:30:01::', 'tie%2:35:01::', 'tie%2:36:00::', 'tie%2:30:00::', 'tie%2:35:00::', 'tie%2:33:00::', 'tie%2:35:02::', 'tie%2:41:01::']","['perform a marriage ceremony', 'limit or restrict to', 'connect, fasten, or put together two or more pieces', 'make by tying pieces together', 'form a knot or bow in', 'fasten or secure with a rope, string, or cord', 'finish a game with an equal number of points, goals, etc.', 'unite musical notes by a tie', 'create social or emotional ties']",[8]
d000.s009.t003,He wondered how he got tied up with this [TGT] stranger [TGT] .,"['stranger%1:18:01::', 'stranger%1:18:00::']","['an individual that one is not acquainted with', 'anyone who does not belong in the environment in which they are found']",[1]
d000.s010.t000,"But , of course , he [TGT] remembered [TGT] now .","['remember%2:32:07::', 'remember%2:31:00::', 'remember%2:32:00::', 'remember%2:31:08::', 'remember%2:31:09::', 'remember%2:31:01::', 'remember%2:31:02::', 'remember%2:40:00::']","['mention favorably, as in prayer', 'recall knowledge from memory; have a recollection', 'mention as by way of greeting or to indicate friendship', 'exercise, or have the power of, memory', 'call to remembrance; keep alive the memory of someone or something, as in a ceremony', 'keep in mind for attention or consideration', 'recapture the past; indulge in memories', 'show appreciation to']",[1]
d000.s011.t000,"It was [TGT] blurred [TGT] , after two hours of steady drinking , but the occasion of it came back to him .","['blur%2:39:00::', 'blur%2:39:01::', 'blur%2:30:00::', 'blur%2:30:01::', 'blur%2:31:00::', 'blur%2:35:00::']","['to make less distinct or clear', 'become glassy; lose clear vision', 'become vague or indistinct', 'make dim or indistinct', 'make unclear, indistinct, or blurred', 'make a smudge on; soil by smudging']",[2]
d000.s011.t001,"It was blurred , after two [TGT] hours [TGT] of steady drinking , but the occasion of it came back to him .","['hour%1:28:01::', 'hour%1:07:00::', 'hour%1:28:02::', 'hour%1:28:00::']","['clock time', 'distance measured by the time taken to cover it', 'a special and memorable period', 'a period of time equal to 1/24th of a day']",[3]
d000.s011.t002,"It was blurred , after two hours of [TGT] steady [TGT] drinking , but the occasion of it came back to him .","['steady%5:00:00:secure:03', 'steady%5:00:00:frequent:00', 'steady%5:00:00:unexcitable:00', 'steady%5:00:00:resolute:00', 'steady%5:00:00:stable:00', 'steady%3:00:00::']","['securely in position; not shaky', 'relating to a person who does something regularly', 'not easily excited or upset', 'marked by firm determination or resolution; not shakable', 'not liable to fluctuate or especially to fall', 'not subject to change or variation especially in behavior']",[5]
d000.s011.t003,"It was blurred , after two hours of steady [TGT] drinking [TGT] , but the occasion of it came back to him .","['drinking%1:04:01::', 'drinking%1:04:00::']","['the act of drinking alcoholic beverages to excess', 'the act of consuming liquids']",[0]
d000.s011.t004,"It was blurred , after two hours of steady drinking , but the [TGT] occasion [TGT] of it came back to him .","['occasion%1:11:00::', 'occasion%1:26:00::', 'occasion%1:11:01::', 'occasion%1:28:00::', 'occasion%1:16:00::']","['an event that occurs at a critical time', 'an opportunity to do something', 'a vaguely specified social event', 'the time of a particular event', 'reason']",[0]
d000.s011.t005,"It was blurred , after two hours of steady drinking , but the occasion of it [TGT] came back [TGT] to him .","['come_back%2:32:00::', 'come_back%2:32:01::', 'come_back%2:38:01::', 'come_back%2:30:00::']","['go back to something earlier', 'answer back', 'even the score, in sports', 'be restored']",[3]
d000.s012.t000,"The [TGT] stranger [TGT] , his head seemingly sunk in thought , started to cross the street against the light just as a huge moving van roared through the intersection .","['stranger%1:18:01::', 'stranger%1:18:00::']","['an individual that one is not acquainted with', 'anyone who does not belong in the environment in which they are found']",[1]
